council_lead,fmp,stock_orig,species,no_cap_text,individual_holdings_cap,catcher_processor_holdings_cap,vessel_holdings_cap,processor_holdings_cap,crew_holdings_cap,catcher_processor_use_cap,cooperative_use_cap,processor_use_cap,individual_vessel_use_cap,individual_vessel_use_cap_text
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Deep Water Grouper Complex,"Hyporthodus nigritus, Hyporthodus niveatus, Hyporthodus flavolimbatus, Epinephelus drummondhayi",NA,14.70,NA,NA,NA,NA,NA,NA,NA,14.70,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Shallow Water Grouper Complex,"Mycteroperca phenax, Mycteroperca interstitialis, Mycteroperca bonaci, Mycteroperca venenosa",NA,7.30,NA,NA,NA,NA,NA,NA,NA,7.30,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Tilefishes Complex,"Caulolatilus chrysops, Caulolatilus microps",NA,12.20,NA,NA,NA,NA,NA,NA,NA,12.20,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Red grouper - Gulf of Mexico,Epinephelus morio,NA,4.30,NA,NA,NA,NA,NA,NA,NA,4.30,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Tilefish - Gulf of Mexico,Lopholatilus chamaeleonticeps,NA,12.20,NA,NA,NA,NA,NA,NA,NA,12.20,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Yellowedge grouper - Gulf of Mexico,Hyporthodus flavolimbatus,NA,14.70,NA,NA,NA,NA,NA,NA,NA,14.70,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Bluefin tuna - Western Atlantic,Thunnus thynnus,NA,25.00,NA,NA,NA,NA,NA,NA,NA,25.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,NA,1.00,NA,1.00,NA,NA,NA,NA,NA,1.00,NA
NEFMC,Northeast Multispecies,Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Atlantic cod - Georges Bank,Gadus morhua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Atlantic cod - Gulf of Maine,Gadus morhua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Haddock - Georges Bank,Melanogrammus aeglefinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Haddock - Gulf of Maine,Melanogrammus aeglefinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Pollock - Gulf of Maine / Georges Bank,Pollachius virens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Winter flounder - Gulf of Maine,Pseudopleuronectes americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Winter flounder - Southern New England / Mid-Atlantic,Pseudopleuronectes americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Yellowtail flounder - Cape Cod / Gulf of Maine,Limanda ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Limanda ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Yellowtail flounder - Southern New England / Mid-Atlantic,Limanda ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Aleutian Islands,Gadus macrocephalus,NA,5.00,NA,NA,20.00,NA,NA,NA,20.00,5.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Bering Sea,Gadus macrocephalus,NA,5.00,NA,NA,20.00,NA,NA,NA,20.00,5.00,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Red snapper - Gulf of Mexico,Lutjanus campechanus,NA,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,Atlantic Surfclam and Ocean Quahog,Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,NA,35.00,NA,NA,NA,NA,NA,NA,NA,NA,65 annual cage tags
MAFMC,Atlantic Surfclam and Ocean Quahog,Ocean quahog - Atlantic Coast,Arctica islandica,NA,40.00,NA,NA,NA,NA,NA,NA,NA,NA,70 annual cage tags
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 permits per vessel
PFMC,Pacific Coast Groundfish,Dover sole - Pacific Coast,Microstomus pacificus,NA,2.60,NA,NA,NA,NA,NA,NA,NA,3.90,NA
PFMC,Pacific Coast Groundfish,Petrale sole - Pacific Coast,Eopsetta jordani,NA,3.00,NA,NA,NA,NA,NA,NA,NA,4.50,NA
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,3.00,NA,NA,NA,NA,NA,NA,NA,4.50,NA
PFMC,Pacific Coast Groundfish,Lingcod - Northern Pacific Coast,Ophiodon elongatus,NA,2.50,NA,NA,NA,NA,NA,NA,NA,5.30,NA
PFMC,Pacific Coast Groundfish,Pacific ocean perch - Pacific Coast,Sebastes alutus,NA,4.00,NA,NA,NA,NA,NA,NA,NA,6.00,NA
PFMC,Pacific Coast Groundfish,Darkblotched rockfish - Pacific Coast,Sebastes crameri,NA,4.50,NA,NA,NA,NA,NA,NA,NA,6.80,NA
