council_lead,fmp,stock,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Tripletail - Puerto Rico,Lobotes surinamensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Wahoo - Puerto Rico,Acanthocybium solandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Rainbow runner - Puerto Rico,Elagatis bipinnulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Dolphinfish Complex - Puerto Rico,Coryphaena equiselis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,Bluefish,Bluefish - Atlantic Coast,Pomatomus saltatrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,African pompano - Puerto Rico,Alectis ciliaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico,Mutton snapper - Southern Atlantic Coast / Gulf of Mexico,Lutjanus analis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Warsaw grouper - Southern Atlantic Coast,Hyporthodus nigritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Atlantic spadefish - Southern Atlantic Coast,Chaetodipterus faber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Dolphin and Wahoo Fishery of the Atlantic,Wahoo - Southern Atlantic Coast,Acanthocybium solandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Cubera snapper - Puerto Rico,Lutjanus cyanopterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Greater amberjack - Gulf of Mexico,Seriola dumerili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Bar jack - Southern Atlantic Coast,Caranx ruber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gray triggerfish - Gulf of Mexico,Balistes capriscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,Tilefish,Blueline tilefish - Mid-Atlantic Coast,Caulolatilus microps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Red snapper - Southern Atlantic Coast,Lutjanus campechanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,King mackerel - Gulf of Mexico,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico,Black grouper - Southern Atlantic Coast / Gulf of Mexico,Mycteroperca bonaci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,King mackerel - Southern Atlantic Coast,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gag - Gulf of Mexico,Mycteroperca microlepis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Greater amberjack - Southern Atlantic Coast,Seriola dumerili,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Gray triggerfish - Southern Atlantic Coast,Balistes capriscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Black sea bass - Southern Atlantic Coast,Centropristis striata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Red grouper - Southern Atlantic Coast,Epinephelus morio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,"Summer Flounder, Scup and Black Sea Bass",Black sea bass - Mid-Atlantic Coast,Centropristis striata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Blueline tilefish - Southern Atlantic Coast,Caulolatilus microps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Gag - Southern Atlantic Coast,Mycteroperca microlepis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Red porgy - Southern Atlantic Coast,Pagrus pagrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Red snapper - Gulf of Mexico,Lutjanus campechanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico,Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico,Ocyurus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Spanish mackerel - Southern Atlantic Coast,Scomberomorus maculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Spanish mackerel - Gulf of Mexico,Scomberomorus maculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Red grouper - Gulf of Mexico,Epinephelus morio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Northeast Multispecies,Atlantic cod - Gulf of Maine,Gadus morhua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Scamp - Southern Atlantic Coast,Mycteroperca phenax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Speckled hind - Southern Atlantic Coast,Epinephelus drummondhayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,"Summer Flounder, Scup and Black Sea Bass",Scup - Atlantic Coast,Stenotomus chrysops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Northeast Multispecies,Haddock - Gulf of Maine,Melanogrammus aeglefinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Vermilion snapper - Southern Atlantic Coast,Rhomboplites aurorubens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Hogfish - Carolinas,Lachnolaimus maximus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Cobia - Gulf of Mexico,Rachycentron canadum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Snowy grouper - Southern Atlantic Coast,Hyporthodus niveatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Hogfish - Puerto Rico,Lachnolaimus maximus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Hogfish - Florida Keys / East Florida,Lachnolaimus maximus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Lane snapper - Puerto Rico,Lutjanus synagris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Yellowtail snapper - Puerto Rico,Ocyurus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Yellowedge grouper - Gulf of Mexico,Hyporthodus flavolimbatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Wreckfish - Southern Atlantic Coast,Polyprion americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Golden tilefish - Southern Atlantic Coast,Lopholatilus chamaeleonticeps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,White grunt - Puerto Rico,Haemulon plumieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Salmon Fisheries in the EEZ off the Coast of Alaska,Chinook salmon - Eastern North Pacific Far North Migrating,Oncorhynchus tshawytscha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,"Mackerel, Squid and Butterfish",Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Wahoo - Pacific,Acanthocybium solandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Croix in the EEZ,Wahoo - St. Croix,Acanthocybium solandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Wahoo - St. Thomas / St. John,Acanthocybium solandri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Spotted eagle ray - Puerto Rico,Aetobatus narinari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ/Comprehensive FMP for St. Croix in the EEZ/Comprehensive FMP for St. Thomas / St. John in the EEZ,Queen conch - Caribbean,Aliger gigas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Pelagic thresher - North Pacific,Alopias pelagicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Bigeye thresher - Pacific,Alopias superciliosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Thresher shark - Atlantic and Gulf of Mexico,Alopias vulpinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Thresher shark - North Pacific,Alopias vulpinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Northeast Skate Complex,Thorny skate - Gulf of Maine,Amblyraja radiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Northeast Multispecies,Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Black Coral Complex - Au'Au Bed,Antipatharia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFMC,Coral and Coral Reefs of the Gulf of Mexico,Black corals (Antipatharia) - Gulf of Mexico,Antipatharia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,"Coral, Coral Reefs and Live/Hard Bottom Habitats of the South Atlantic Region",Black corals (Antipatharia) - Southern Atlantic Coast,Antipatharia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Pacific Remote Island Areas Ecosystem,Black Precious Coral Complex - Pacific Remote Island Areas,Antipatharia or Corallium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Green jobfish - Main Hawaiian Islands,Aprion virescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,Atlantic Surfclam and Ocean Quahog,Ocean quahog - Atlantic Coast,Arctica islandica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Kamchatka flounder - Bering Sea / Aleutian Islands,Atheresthes evermanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Arrowtooth flounder - Bering Sea / Aleutian Islands,Atheresthes stomias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,Atheresthes stomias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Arrowtooth flounder - Pacific Coast,Atheresthes stomias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Croix in the EEZ,Queen triggerfish - St. Croix,Balistes vetula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Queen triggerfish - St. Thomas / St. John,Balistes vetula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Fish Resources of the Arctic Management Area,Arctic cod - Arctic Management Area,Boreogadus saida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Pomfrets (Bramidae) - Pacific,Bramidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Blue runner - St. Thomas / St. John,Caranx crysos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacknose shark - Atlantic,Carcharhinus acronotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacknose shark - Gulf of Mexico,Carcharhinus acronotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Spinner shark - Atlantic and Gulf of Mexico,Carcharhinus brevipinna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Silky shark - Atlantic and Gulf of Mexico,Carcharhinus falciformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Silky shark - Western and Central Pacific,Carcharhinus falciformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Finetooth shark - Atlantic and Gulf of Mexico,Carcharhinus isodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Bull shark - Atlantic and Gulf of Mexico,Carcharhinus leucas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacktip shark - Atlantic,Carcharhinus limbatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacktip shark - Gulf of Mexico,Carcharhinus limbatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Oceanic whitetip shark - Atlantic and Gulf of Mexico,Carcharhinus longimanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Oceanic whitetip shark - Western and Central Pacific,Carcharhinus longimanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Dusky shark - Atlantic and Gulf of Mexico,Carcharhinus obscurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Sandbar shark - Atlantic and Gulf of Mexico,Carcharhinus plumbeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Golden Crab Fishery of the South Atlantic Region,Golden deepsea crab - Southern Atlantic Coast,Chaceon fenneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Deep-Sea Red Crab,Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Southern Tanner crab - Bering Sea,Chionoecetes bairdi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
