council_lead,fmp,stock,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28
PFMC,Pacific Coast Groundfish,Other Fish - Pacific Coast,Hydrolagus colliei, Antimora microlepis, Coryphaenoides acrolepis, Coryphaenoides cinereus, Coryphaenoides rupestris, Macrourus berglax, Macrourus carinatus, Macrourus whitsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Deepwater Snapper-Grouper Complex - South Atlantic,Epinephelus niveatus, Hyporthodus flavolimbatus, Epinephelus nigritus, Epinephelus drummondhayi, Epinephelus mystacinus, Lopholatilus chamaeleonticeps, Caulolatilus microps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Shallow Water Snapper-Grouper Complex - South Atlantic,Epinephelus adscensionis, Epinephelus guttatus, Cephalopholis fulva, Cephalopholis cruentata, Mycteroperca venenosa, Mycteroperca microlepis, Mycteroperca interstitialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Hawaii Archipelago Ecosystem,Deep 7 Bottomfish Multi-species Complex - Main Hawaiian Islands,Etelis carbunculus, Pristipomoides zonatus, Hyporthodus quernus, Pristipomoides sieboldii, Aphareus rutilans, Etelis coruscans, Pristipomoides filamentosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFMC,Pacific Coast Groundfish,Other Flatfish - Pacific Coast,Isopsetta isolepis, Pleuronichthys decurrens, Hippoglossoides elassodon, Citharichthys sordidus, Glyptocephalus zachirus, Lepidopsetta bilineata, Psettichthys melanostictus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Demersal Shelf Rockfish Complex - Gulf of Alaska,Sebastes ruberrimus, Sebastes maliger, Sebastes caurinus, Sebastes helvomaculatus, Sebastes pinniger, Sebastes nebulosus, Sebastes nigrocinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Croix in the EEZ,Parrotfishes Complex - St. Croix,Scarus vetula, Scarus taeniopterus, Scarus chrysopterus, Sparisoma viride, Sparisoma aurofrenatum, Sparisoma rocha, Sparisoma rubripinne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,Parrotfishes Complex - St. Thomas / St. John,Scarus vetula, Scarus taeniopterus, Scarus chrysopterus, Sparisoma viride, Sparisoma aurofrenatum, Sparisoma rocha, Sparisoma rubripinne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Octopus Complex - Gulf of Alaska,Octopus californicus, Enteroctopus dofleini, Octopus rubescens, Benthoctopus leioderma, Opisthoteuthis californiana, Japetella diaphana, Vampyroteuthis infernalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Porgy Complex - South Atlantic,Calamus bajonado, Calamus nodosus, Stenotomus caprinus, Calamus calamus, Stenotomus chrysops, Calamus leucosteus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPFMC,Mariana Archipelago Ecosystem,Bottomfish Multi-species Complex - Guam,Etelis carbunculus, Etelis coruscans, Pristipomoides zonatus, Pristipomoides auricilla, Aprion virescens, Pristipomoides multidens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Parrotfishes Complex - Puerto Rico,Scarus vetula, Scarus taeniopterus, Sparisoma chrysopterum, Sparisoma viride, Sparisoma aurofrenatum, Scarus iseri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,Groundfish of the Gulf of Alaska,Other Rockfish Complex - Gulf of Alaska,Sebastes variegatus, Sebastes babcocki, Sebastes proriger, Sebastes zacentrus, Sebastes brevispinis, Sebastes ruberrimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
