council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Bigeye tuna - Western and Central Pacific,Bigeye tuna - Western and Central Pacific,Thunnus obesus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Thunnus obesus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Pacific bluefin tuna - Pacific,Pacific bluefin tuna - Pacific,Thunnus orientalis,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Thunnus orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Bluefin tuna - Western Atlantic,Bluefin tuna - Western Atlantic,Thunnus thynnus,ZJK,,n,,y,ICCAT,,,,,North of 39Â°18â€² N lat; South of 39Â°18â€² N lat; Gulf of Mexico,,,commercial,commercial,,,,,"longline (incidental), general, angling, harpoon, purse seine, trap, reserve",,,Reserve category for inseason adjustments and research,longline allocation is due to incidental catch (longline not permitted to target bluefin),,,,,y,,historical,2006-2012,,y,individual,,,,https://media.fisheries.noaa.gov/dam-migration/a7-ibq-faq.pdf,"- there is also a 'quality' allocation, not sure where to put this. see summary for details; IBQ catch share program only exists to manage incidental catch in longline fishery",Thunnus thynnus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Coastal Pelagic Species,Jack mackerel - Pacific Coast,Jack mackerel - Pacific Coast,Trachurus symmetricus,,,n,,,"US (65%), Mexico (35%)",static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trachurus symmetricus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast small-mesh Multispecies,Red hake - Gulf of Maine / Northern Georges Bank,Red hake - Gulf of Maine / Northern Georges Bank,Urophycis chuss,ZJK,,n,,y,,,,,,,,,,,,,,,,,,,"recent 3-yr average of discards, 3% of state-water landings",,,,,,,,,,,,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ,,Urophycis chuss,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast small-mesh Multispecies,Red hake - Southern Georges Bank / Mid-Atlantic,Red hake - Southern Georges Bank / Mid-Atlantic,Urophycis chuss,ZJK,,y,,y,,,,,,,,,,,,,,,,,,,"recent 3-yr average of discards, 3% of state-water landings",,"Q1 (33.3%), Q2 (25.3%), Q3 (17.7%), Q4 (23.7%)",,,,,,,,,,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ,,Urophycis chuss,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,White hake - Gulf of Maine / Georges Bank,White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,ZJK,,y,,y,,,,,,,,,,,,,,,"catch share: sector (98%), common pool (2%)",,implicit (set by catch shares),,set aside allocation for non-directed fisheries and other untracked subcomponents (recreational if no formal rec allocation),common pool subsector,"Trimester 1 (38%), Trimester 2 (31%), Trimester 3 (31%)",apportioned to each trimester according to seasonal fishing effort,"common pool subsector only, set in mt for 2024, converted to percents",y,,historical,Potential Sector Contributions summed to sector allocations based on historical catch from 1996-2006,,y,sector,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ; https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/northeast-multispecies-common-pool-fishery,,Urophycis tenuis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Swordfish - Eastern Pacific,Swordfish - Eastern Pacific,Xiphias gladius,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Xiphias gladius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Swordfish - North Atlantic,Swordfish - North Atlantic,Xiphias gladius,ZJK,,n,,y,ICCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 21-02 SWO SUPPLEMENTAL RECOMMENDATION BY ICCAT EXTENDING AND AMENDING RECOMMENDATION 17-02 AMENDING THE RECOMMENDATION 16-03,the UC received allocations through ICCAT,Xiphias gladius,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Swordfish - Western and Central North Pacific,Swordfish - Western and Central North Pacific,Xiphias gladius,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Xiphias gladius,,,,,,,,,,,,,,,,,,,,,,,,,,,
