council,council_lead,fmp,stock_orig,stock,species,completed_by,QC_by,FSSI_yn,prohibited_yn,allocation_yn,country_list,country_notes,state_list,state_yrs,state_notes,area_list,area_yrs,area_notes,sector_type,sector_list,sector_yrs,sector_basis,sector_notes,subsector_list_rec,subsector_list_comm,subsector_yrs,subsector_notes,rsa_notes,bycatch_notes,effort_alloc_notes,season_list,season_yrs,season_notes,shares_yn,shares_start_yr,shares_basis,shares_yrs,share_cap,shares_transfer_yn,shares_owner,share_management,share_new_entrants,shares_notes,source,notes,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28
PFMC,PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish North,Minor Shelf Rockfish - North,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastes paucispinis,Sebastes gilli,Sebastes pinniger,Sebastes goodei,Sebastes levis,Sebastes ciliatus,Sebastes rubrivinctus,Sebastes rosenblatti,Sebastes chlorostictus,Sebastes elongatus,Sebastes variegatus,Sebastes umbrosus,Sebastes macdonaldi,Sebastes eos,Sebastes proriger,Sebastes helvomaculatus,Sebastes rosaceus,Sebastes jordani,Sebastes brevispinis,Sebastes ovalis,Sebastes hopkinsi,Sebastes constellatus,Sebastes saxicola,Sebastes nigrocinctus,Sebastes miniatus,Sebastes entomelas,Sebastes ruberrimus,Sebastes flavidus
PFMC,PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish South,Minor Shelf Rockfish - South,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastes paucispinis,Sebastes gilli,Sebastes pinniger,Sebastes goodei,Sebastes levis,Sebastes ciliatus,Sebastes rubrivinctus,Sebastes rosenblatti,Sebastes chlorostictus,Sebastes elongatus,Sebastes variegatus,Sebastes umbrosus,Sebastes macdonaldi,Sebastes eos,Sebastes proriger,Sebastes helvomaculatus,Sebastes rosaceus,Sebastes jordani,Sebastes brevispinis,Sebastes ovalis,Sebastes hopkinsi,Sebastes constellatus,Sebastes saxicola,Sebastes nigrocinctus,Sebastes miniatus,Sebastes entomelas,Sebastes ruberrimus,Sebastes flavidus
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Wahoo - Pacific,Wahoo - Pacific,Acanthocybium solandri,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico wahoo,Wahoo - Puerto Rico,Acanthocybium solandri,ZJK,,n,,y,,,,,,,,,implicit,"commercial (10.9%), recreational (89.1%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Dolphin and Wahoo Fishery of the Atlantic,Wahoo - Southern Atlantic Coast,Wahoo - Southern Atlantic Coast,Acanthocybium solandri,ZJK,,n,,y,,,,,,,,,explicit,"recreational (97.55%), commercial (2.45%) ",2015-2019,commercial ACL,"no longer associated w/ catch history, just mgmt taregts",,,,,,,,,,,,,historical,,,,,,,,,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC wahoo,Wahoo - St. Croix,Acanthocybium solandri,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ wahoo,Wahoo - St. Thomas / St. John,Acanthocybium solandri,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthocybium solandri,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Surgeonfishes Complex,Surgeonfishes Complex - Puerto Rico,"Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus",ZJK,,n,,y,,,,,,,,,implicit,"commercial (15%), recreational (85%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthurus coeruleus,Acanthurus bahianus,Acanthurus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC Surgeonfishes Complex,Surgeonfishes Complex - St. Croix,"Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthurus coeruleus,Acanthurus bahianus,Acanthurus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ Surgeonfishes Complex,Surgeonfishes Complex - St. Thomas / St. John,"Acanthurus coeruleus, Acanthurus bahianus, Acanthurus chirurgus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Acanthurus coeruleus,Acanthurus bahianus,Acanthurus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico spotted eagle ray,Spotted eagle ray - Puerto Rico,Aetobatus narinari,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Aetobatus narinari,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico African pompano,African pompano - Puerto Rico,Alectis ciliaris,ZJK,,n,,y,,,,,,,,,implicit,"commercial (16%), recreational (84%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Alectis ciliaris,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ/Comprehensive FMP for St. Croix in the EEZ/Comprehensive FMP for St. Thomas / St. John in the EEZ,Queen conch - Caribbean,Queen conch - Caribbean,Aliger gigas,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,"can only harvest Conch in St. Croix, so technically, St. Croix is allocated 100%?",Aliger gigas,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Pelagic thresher - North Pacific,Pelagic thresher - North Pacific,Alopias pelagicus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Alopias pelagicus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Bigeye thresher - Pacific,Bigeye thresher - Pacific,Alopias superciliosus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Alopias superciliosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Thresher shark - Atlantic and Gulf of Mexico,Thresher shark - Atlantic and Gulf of Mexico,Alopias vulpinus,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alopias vulpinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC / WPFMC,Pacific HMS,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Thresher shark - North Pacific,Thresher shark - North Pacific,Alopias vulpinus,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pcouncil.org/documents/2023/04/fishery-management-plan-for-west-coast-fisheries-for-highly-migratory-species-through-amendment-5.pdf/,,Alopias vulpinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Skate Complex,Thorny skate - Gulf of Maine,Thorny skate - Gulf of Maine,Amblyraja radiata,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protected!!,Amblyraja radiata,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEFMC,NEFMC,Northeast Multispecies,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New England Multispecies Sectors Catch Share (2010) https://www.fisheries.noaa.gov/new-england-mid-atlantic/commercial-fishing/sector-management-northeast-multispecies-fishery ,,Anarhichas lupus,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,ZJK,,y,n,y,,,,,,,,,,,,,,,CDQ; trawl; fixed-gear,,"in Gulf of Alaska, allocation to trawl gear is incidental catch, except for the case of the rockfish catchshare program in which sablefish is a secondary species",,,,,,,y,1995,historical,"Fixed-gear subsector only, best 5 out of 7 from 1984-1990",1%,y,individual_cooperative,NPFMC,community_quota_entities,"shares can transfer down (larger vessels to smaller vessels), but not up; mechanisms to maintain small scale, community centric nature of the fishery",,,Anoplopoma fimbria,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Sablefish - Pacific Coast,Anoplopoma fimbria,,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplopoma fimbria,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Au'Au Bed Black Coral Complex,Black Coral Complex - Au'Au Bed,Antipatharia,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antipatharia,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Coral and Coral Reefs of the Gulf of Mexico,Black corals (Antipatharia) - Gulf of Mexico,Black corals (Antipatharia) - Gulf of Mexico,Antipatharia,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antipatharia,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,"Coral, Coral Reefs and Live/Hard Bottom Habitats of the South Atlantic Region",Black corals (Antipatharia) - Southern Atlantic Coast,Black corals (Antipatharia) - Southern Atlantic Coast,Antipatharia,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antipatharia,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Remote Island Areas Ecosystem,Pacific Remote Island Areas Black Precious Coral Complex,Black Precious Coral Complex - Pacific Remote Island Areas ,Antipatharia or Corallium,CMF,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antipatharia or Corallium,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Hawaii Archipelago Ecosystem,Green jobfish - Main Hawaiian Islands,Green jobfish - Main Hawaiian Islands,Aprion virescens,CMF,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aprion virescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Snapper 1 Complex,Snapper 1 Complex - Puerto Rico,"Apsilus dentatus, Lutjanus buccanella, Lutjanus vivanus, Rhomboplites aurorubens, Pristipomoides aquilonaris",ZJK,,n,,y,,,,,,,,,implicit,"commercial (79%), recreational (21%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Apsilus dentatus,Lutjanus buccanella,Lutjanus vivanus,Rhomboplites aurorubens,Pristipomoides aquilonaris,,,,,,,,,,,,,,,,,,,,,,,
MAFMC,MAFMC,Atlantic Surfclam and Ocean Quahog,Ocean quahog - Atlantic Coast,Ocean quahog - Atlantic Coast,Arctica islandica,CMF,,y,,y,,,,,,,,,,,,,,,,,,,,,,,,y,1988,,1979-1988,,y,vessel,,,,landings and vessel capacity,,Arctica islandica,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Kamchatka flounder - Bering Sea / Aleutian Islands,Kamchatka flounder - Bering Sea / Aleutian Islands,Atheresthes evermanni,,,y,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atheresthes evermanni,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Arrowtooth flounder - Bering Sea / Aleutian Islands,Arrowtooth flounder - Bering Sea / Aleutian Islands,Atheresthes stomias,ZJK,,y,,y,,,,,,,,,,,,,,,CDQ; non-CDQ,,,,,,,,,,,,,,,,,,,,,Atheresthes stomias,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Groundfish of the Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,Atheresthes stomias,ZJK,,y,,"Spatial (if individual TAC for each subregion counts) otherwise, no allocation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atheresthes stomias,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMC,PFMC,Pacific Coast Groundfish,Arrowtooth flounder - Pacific Coast,Arrowtooth flounder - Pacific Coast,Atheresthes stomias,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atheresthes stomias,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Gray triggerfish - Gulf of Mexico,Gray triggerfish - Gulf of Mexico,Balistes capriscus,ZJK,,y,,y,,,,,,,,,explicit,"commercial (21%), recreational (79%)",not specified,,,,,,,,,,,,,,,,,,,,,,,,,Balistes capriscus,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Gray triggerfish - Southern Atlantic Coast,Gray triggerfish - Southern Atlantic Coast,Balistes capriscus,ZJK,,y,,y,,,,,,,,,explicit,"commercial (43.56%), recreational (56.44%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,,,,,,,Balistes capriscus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Croix in the EEZ,STC queen triggerfish,Queen triggerfish - St. Croix,Balistes vetula,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Balistes vetula,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ queen triggerfish,Queen triggerfish - St. Thomas / St. John,Balistes vetula,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Balistes vetula,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFMC,NPFMC,Fish Resources of the Arctic Management Area,Arctic cod - Arctic Management Area,Arctic cod - Arctic Management Area,Boreogadus saida,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boreogadus saida,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Pomfrets (Bramidae) - Pacific,Pomfrets (Bramidae) - Pacific,Bramidae,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bramidae,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,South Atlantic Porgy Complex,Porgy Complex - South Atlantic,"Calamus bajonado, Calamus nodosus, Stenotomus caprinus, Calamus calamus, Stenotomus chrysops, Calamus leucosteus",ZJK,,n,,y,,,,,,,,,explicit,"commercial, recreational","1986-2008, 2006-2008",catch,species-specific,,,,,,,,,,,,,historical,,,,NA,,,,,,Calamus bajonado,Calamus nodosus,Stenotomus caprinus,Calamus calamus,Stenotomus chrysops,Calamus leucosteus,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ Porgies Complex,Porgies Complex - St. Thomas / St. John,"Calamus calamus, Stenotomus caprinus, Archosargus probatocephalus, Pagrus pagrus",ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Calamus calamus,Stenotomus caprinus,Archosargus probatocephalus,Pagrus pagrus,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico Triggerfishes Complex,Triggerfishes Complex - Puerto Rico,"Canthidermis sufflamen, Balistes vetula, Balistes capriscus",ZJK,,n,,y,,,,,,,,,implicit,"commercial (92%), recreational (8%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Canthidermis sufflamen,Balistes vetula,Balistes capriscus,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for St. Thomas / St. John in the EEZ,STT/STJ blue runner,Blue runner - St. Thomas / St. John,Caranx crysos,ZJK,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Caranx crysos,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMC,CFMC,Comprehensive FMP for Puerto Rico in the EEZ,Puerto Rico crevalle jack,Crevalle jack - Puerto Rico,Caranx hippos,ZJK,,n,,y,,,,,,,,,implicit,"commercial (0.1%), recreational (99.9%)",not specified,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2022-09-13/pdf/2022-19409.pdf,,Caranx hippos,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Bar jack - Southern Atlantic Coast,Bar jack - Southern Atlantic Coast,Caranx ruber,ZJK,,n,,y,,,,,,,,,explicit,"commercial (21.25%), recreational (78.75%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,NA,,,,,,Caranx ruber,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacknose shark - Atlantic,Blacknose shark - Atlantic,Carcharhinus acronotus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus acronotus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacknose shark - Gulf of Mexico,Blacknose shark - Gulf of Mexico,Carcharhinus acronotus,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus acronotus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Spinner shark - Atlantic and Gulf of Mexico,Spinner shark - Atlantic and Gulf of Mexico,Carcharhinus brevipinna,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus brevipinna,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Silky shark - Atlantic and Gulf of Mexico,Silky shark - Atlantic and Gulf of Mexico,Carcharhinus falciformis,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus falciformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Silky shark - Western and Central Pacific,Silky shark - Western and Central Pacific,Carcharhinus falciformis,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus falciformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Finetooth shark - Atlantic and Gulf of Mexico,Finetooth shark - Atlantic and Gulf of Mexico,Carcharhinus isodon,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus isodon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Bull shark - Atlantic and Gulf of Mexico,Bull shark - Atlantic and Gulf of Mexico,Carcharhinus leucas,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus leucas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacktip shark - Atlantic,Blacktip shark - Atlantic,Carcharhinus limbatus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus limbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Blacktip shark - Gulf of Mexico,Blacktip shark - Gulf of Mexico,Carcharhinus limbatus,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus limbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Oceanic whitetip shark - Atlantic and Gulf of Mexico,Oceanic whitetip shark - Atlantic and Gulf of Mexico,Carcharhinus longimanus,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fisheries.noaa.gov/action/retention-prohibition-oceanic-whitetip-sharks-us-atlantic-waters-and-hammerhead-sharks-us,,Carcharhinus longimanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPFMC,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Oceanic whitetip shark - Western and Central Pacific,Oceanic whitetip shark - Western and Central Pacific,Carcharhinus longimanus,CMF,,n,,y,"US, Pacific countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus longimanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Dusky shark - Atlantic and Gulf of Mexico,Dusky shark - Atlantic and Gulf of Mexico,Carcharhinus obscurus,ZJK,,n,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carcharhinus obscurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic HMS,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark - Atlantic and Gulf of Mexico,Carcharhinus plumbeus,ZJK,,y,y,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govinfo.gov/content/pkg/FR-2021-08-06/pdf/2021-16770.pdf,"there is a specific research quota set for this species, but i wouldn't say that's an allocation",Carcharhinus plumbeus,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFMC,GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Tilefishes Complex,Tilefishes Complex - Gulf of Mexico,"Caulolatilus chrysops, Caulolatilus microps",ZJK,,n,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caulolatilus chrysops,Caulolatilus microps,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFMC,MAFMC,Tilefish,Blueline tilefish - Mid-Atlantic Coast,Blueline tilefish - Mid-Atlantic Coast,Caulolatilus microps,CMF,,n,,y,,,,,,,,,explicit,"recreational (73%), commercial (27%)",2009-2013,catch,,,,,,,,,,,,,,,,,,,,,,,,Caulolatilus microps,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFMC,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Blueline tilefish - Southern Atlantic Coast,Blueline tilefish - Southern Atlantic Coast,Caulolatilus microps,ZJK,,y,,y,,,,,,,,,explicit,"commercial (50.07%), recreational (49.93%)","1986-2008, 2006-2008",catch,,,,,,,,,,,,,,historical,,,,,,,,,,Caulolatilus microps,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFMC,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Black sea bass - Mid-Atlantic Coast,Black sea bass - Mid-Atlantic Coast,Centropristis striata,CMF,,y,,y,,,"ME (0.25%), NH (0.25%, MA (12.62%), RI (10.68%), CT (3%), NY (8%), NJ (19.42%), DE (5%), MD (10.68%), VA (19.41%), NC (10.68%)",,"commercial; 75% baseline, 25% model-based",,,,explicit,"commercial (45%), recreational (55%)",1983-1992,catch,,,,,,,,,,,,,,,,,,,,,,,,Centropristis striata,,,,,,,,,,,,,,,,,,,,,,,,,,,
